booking_id,asset_tag,asset_name,booking_date,weekday,start_hour,duration_minutes,booked_by,status
BK-00038,AF-0010,Pickup Truck,2026-01-03,Saturday,10,30,E-0057,Completed
BK-00039,AF-0010,Pickup Truck,2026-05-07,Thursday,9,60,E-0037,Completed
BK-00040,AF-0010,Pickup Truck,2026-02-10,Tuesday,14,30,E-0023,Completed
BK-00041,AF-0010,Pickup Truck,2025-09-03,Wednesday,15,30,E-0015,Completed
BK-00042,AF-0010,Pickup Truck,2026-01-20,Tuesday,15,60,E-0006,Completed
BK-00043,AF-0010,Pickup Truck,2025-12-17,Wednesday,11,60,E-0053,Completed
BK-00044,AF-0010,Pickup Truck,2026-06-23,Tuesday,17,30,E-0013,Completed
BK-00045,AF-0010,Pickup Truck,2025-09-12,Friday,14,60,E-0049,Completed
BK-00046,AF-0010,Pickup Truck,2025-10-27,Monday,13,60,E-0044,Cancelled
BK-00047,AF-0010,Pickup Truck,2025-07-30,Wednesday,12,30,E-0034,Completed
BK-00048,AF-0010,Pickup Truck,2026-03-13,Friday,10,120,E-0008,Completed
BK-00049,AF-0010,Pickup Truck,2025-07-23,Wednesday,11,60,E-0015,Completed
BK-00050,AF-0010,Pickup Truck,2026-05-07,Thursday,11,60,E-0037,Completed
BK-00051,AF-0013,Delivery Van,2025-09-09,Tuesday,10,60,E-0017,Completed
BK-00052,AF-0014,Sedan Car,2026-03-12,Thursday,16,90,E-0034,Completed
BK-00053,AF-0014,Sedan Car,2026-05-05,Tuesday,16,90,E-0030,Completed
BK-00054,AF-0014,Sedan Car,2026-04-21,Tuesday,15,90,E-0040,Completed
BK-00055,AF-0014,Sedan Car,2026-06-08,Monday,10,60,E-0055,Completed
BK-00056,AF-0014,Sedan Car,2025-12-30,Tuesday,11,30,E-0041,Completed
BK-00057,AF-0014,Sedan Car,2026-02-12,Thursday,12,30,E-0024,Cancelled
BK-00058,AF-0015,Wireless Mouse,2026-02-11,Wednesday,11,120,E-0029,Cancelled
BK-00059,AF-0015,Wireless Mouse,2025-08-23,Saturday,10,60,E-0023,Completed
BK-00060,AF-0015,Wireless Mouse,2026-02-24,Tuesday,11,60,E-0049,Cancelled
BK-00061,AF-0015,Wireless Mouse,2026-04-06,Monday,9,120,E-0017,Completed
BK-00062,AF-0015,Wireless Mouse,2025-08-06,Wednesday,11,120,E-0004,Completed
BK-00063,AF-0015,Wireless Mouse,2025-10-27,Monday,15,30,E-0018,Completed
BK-00064,AF-0015,Wireless Mouse,2026-03-20,Friday,14,120,E-0003,Completed
BK-00065,AF-0015,Wireless Mouse,2025-09-11,Thursday,11,30,E-0027,Completed
BK-00066,AF-0015,Wireless Mouse,2026-06-22,Monday,15,90,E-0057,Completed
BK-00067,AF-0015,Wireless Mouse,2026-05-22,Friday,15,90,E-0008,Completed
BK-00068,AF-0015,Wireless Mouse,2026-02-16,Monday,9,60,E-0019,Completed
BK-00069,AF-0015,Wireless Mouse,2025-08-19,Tuesday,17,60,E-0015,Completed
BK-00070,AF-0015,Wireless Mouse,2025-11-11,Tuesday,15,60,E-0046,Cancelled
BK-00071,AF-0015,Wireless Mouse,2025-08-25,Monday,10,30,E-0033,Completed
BK-00072,AF-0015,Wireless Mouse,2026-03-26,Thursday,14,60,E-0021,Completed
BK-00073,AF-0017,Compressor,2026-06-09,Tuesday,15,30,E-0042,Completed
BK-00074,AF-0017,Compressor,2026-04-15,Wednesday,13,30,E-0020,Completed
BK-00075,AF-0017,Compressor,2025-07-30,Wednesday,11,60,E-0015,Completed
BK-00076,AF-0017,Compressor,2025-12-02,Tuesday,15,120,E-0055,Completed
BK-00077,AF-0017,Compressor,2026-06-08,Monday,15,30,E-0017,Completed
BK-00078,AF-0017,Compressor,2026-01-21,Wednesday,13,120,E-0035,Completed
BK-00079,AF-0017,Compressor,2026-01-15,Thursday,9,60,E-0002,Completed
BK-00080,AF-0017,Compressor,2026-04-09,Thursday,17,30,E-0011,Completed
BK-00081,AF-0017,Compressor,2025-08-04,Monday,10,60,E-0048,Completed
BK-00082,AF-0017,Compressor,2026-06-30,Tuesday,9,30,E-0048,Completed
BK-00083,AF-0017,Compressor,2025-12-10,Wednesday,12,120,E-0041,Completed
BK-00084,AF-0018,Generator,2025-11-01,Saturday,11,90,E-0005,Completed
BK-00085,AF-0018,Generator,2025-11-20,Thursday,12,30,E-0040,Completed
BK-00086,AF-0018,Generator,2026-02-04,Wednesday,14,30,E-0023,Completed
BK-00087,AF-0018,Generator,2025-12-12,Friday,10,60,E-0041,Completed
BK-00088,AF-0019,Compressor,2025-11-03,Monday,11,90,E-0031,Completed
BK-00089,AF-0019,Compressor,2025-11-03,Monday,15,90,E-0009,Completed
BK-00090,AF-0019,Compressor,2026-07-06,Monday,17,90,E-0038,Completed
BK-00091,AF-0019,Compressor,2025-10-03,Friday,11,30,E-0008,Completed
BK-00092,AF-0021,Forklift,2026-02-04,Wednesday,9,60,E-0049,Completed
BK-00093,AF-0021,Forklift,2025-07-17,Thursday,10,90,E-0008,Completed
BK-00094,AF-0021,Forklift,2025-08-20,Wednesday,15,90,E-0007,Completed
BK-00095,AF-0021,Forklift,2026-02-12,Thursday,11,60,E-0056,Cancelled
BK-00096,AF-0021,Forklift,2026-07-01,Wednesday,14,90,E-0024,Completed
BK-00097,AF-0021,Forklift,2025-08-12,Tuesday,11,30,E-0059,Completed
BK-00098,AF-0021,Forklift,2025-07-29,Tuesday,10,90,E-0041,Completed
BK-00099,AF-0021,Forklift,2025-08-26,Tuesday,17,60,E-0020,Completed
BK-00100,AF-0021,Forklift,2025-11-13,Thursday,10,60,E-0036,Completed
BK-00101,AF-0021,Forklift,2026-04-01,Wednesday,14,60,E-0015,Completed
BK-00102,AF-0023,Projector,2026-02-25,Wednesday,15,90,E-0054,Completed
BK-00103,AF-0023,Projector,2025-08-21,Thursday,15,120,E-0014,Completed
BK-00104,AF-0023,Projector,2025-09-08,Monday,10,30,E-0031,Completed
BK-00105,AF-0023,Projector,2025-11-28,Friday,15,60,E-0020,Completed
BK-00106,AF-0023,Projector,2025-11-24,Monday,14,30,E-0016,Completed
BK-00107,AF-0023,Projector,2026-04-13,Monday,9,120,E-0007,Completed
BK-00108,AF-0023,Projector,2025-10-22,Wednesday,13,90,E-0039,Completed
BK-00109,AF-0023,Projector,2026-04-21,Tuesday,9,60,E-0051,Completed
BK-00110,AF-0023,Projector,2026-06-08,Monday,12,60,E-0023,Completed
BK-00111,AF-0023,Projector,2025-07-14,Monday,15,90,E-0010,Completed
BK-00112,AF-0023,Projector,2026-06-15,Monday,12,60,E-0047,Cancelled
BK-00113,AF-0023,Projector,2026-02-06,Friday,16,120,E-0033,Completed
BK-00114,AF-0023,Projector,2025-07-30,Wednesday,9,30,E-0027,Completed
BK-00115,AF-0023,Projector,2026-01-27,Tuesday,11,60,E-0051,Cancelled
BK-00116,AF-0023,Projector,2025-12-24,Wednesday,11,90,E-0034,Completed
BK-00117,AF-0023,Projector,2026-04-22,Wednesday,10,30,E-0047,Completed
BK-00118,AF-0023,Projector,2025-12-08,Monday,11,30,E-0013,Completed
BK-00119,AF-0023,Projector,2025-11-29,Saturday,15,60,E-0056,Cancelled
BK-00120,AF-0025,Pickup Truck,2026-04-21,Tuesday,11,60,E-0016,Completed
BK-00121,AF-0025,Pickup Truck,2026-04-16,Thursday,11,30,E-0054,Completed
BK-00122,AF-0030,Meeting Table,2025-08-13,Wednesday,14,90,E-0038,Completed
BK-00123,AF-0030,Meeting Table,2026-03-26,Thursday,10,90,E-0007,Cancelled
BK-00124,AF-0030,Meeting Table,2026-02-26,Thursday,9,30,E-0053,Completed
BK-00125,AF-0030,Meeting Table,2025-10-07,Tuesday,17,30,E-0037,Completed
BK-00126,AF-0030,Meeting Table,2026-04-02,Thursday,10,60,E-0025,Completed
BK-00127,AF-0030,Meeting Table,2026-01-14,Wednesday,9,30,E-0043,Completed
BK-00128,AF-0030,Meeting Table,2026-06-15,Monday,13,120,E-0033,Completed
BK-00129,AF-0030,Meeting Table,2026-05-05,Tuesday,10,60,E-0055,Completed
BK-00130,AF-0030,Meeting Table,2026-02-13,Friday,11,30,E-0010,Completed
BK-00131,AF-0030,Meeting Table,2025-10-10,Friday,17,60,E-0049,Completed
BK-00132,AF-0030,Meeting Table,2025-08-27,Wednesday,11,60,E-0025,Completed
BK-00133,AF-0030,Meeting Table,2025-12-18,Thursday,16,30,E-0041,Completed
BK-00134,AF-0030,Meeting Table,2025-07-24,Thursday,11,60,E-0059,Completed
BK-00135,AF-0030,Meeting Table,2025-08-27,Wednesday,15,30,E-0031,Completed
BK-00136,AF-0030,Meeting Table,2025-10-24,Friday,14,60,E-0001,Completed
BK-00137,AF-0030,Meeting Table,2026-03-05,Thursday,10,30,E-0012,Cancelled
BK-00138,AF-0030,Meeting Table,2025-11-05,Wednesday,14,90,E-0045,Completed
BK-00139,AF-0032,Meeting Table,2025-11-11,Tuesday,12,90,E-0054,Completed
BK-00140,AF-0032,Meeting Table,2026-05-01,Friday,14,90,E-0005,Completed
BK-00141,AF-0032,Meeting Table,2026-06-01,Monday,14,30,E-0030,Completed
BK-00142,AF-0032,Meeting Table,2026-02-05,Thursday,13,120,E-0017,Cancelled
BK-00143,AF-0032,Meeting Table,2026-02-12,Thursday,10,60,E-0020,Completed
BK-00144,AF-0032,Meeting Table,2025-07-23,Wednesday,16,30,E-0006,Completed
BK-00145,AF-0032,Meeting Table,2025-09-08,Monday,15,120,E-0032,Completed
BK-00146,AF-0032,Meeting Table,2025-12-18,Thursday,13,30,E-0007,Completed
BK-00147,AF-0032,Meeting Table,2025-08-05,Tuesday,14,30,E-0003,Completed
BK-00148,AF-0032,Meeting Table,2025-11-06,Thursday,15,60,E-0013,Completed
BK-00149,AF-0032,Meeting Table,2026-05-07,Thursday,12,90,E-0047,Completed
BK-00150,AF-0032,Meeting Table,2025-10-15,Wednesday,17,60,E-0006,Completed
BK-00151,AF-0032,Meeting Table,2026-06-30,Tuesday,13,30,E-0033,Completed
BK-00152,AF-0032,Meeting Table,2025-11-18,Tuesday,10,60,E-0052,Completed
BK-00153,AF-0032,Meeting Table,2026-04-30,Thursday,14,30,E-0041,Completed
BK-00154,AF-0032,Meeting Table,2026-02-03,Tuesday,15,30,E-0018,Completed
BK-00155,AF-0032,Meeting Table,2026-07-03,Friday,15,60,E-0057,Completed
BK-00156,AF-0032,Meeting Table,2025-12-31,Wednesday,15,60,E-0053,Cancelled
BK-00157,AF-0032,Meeting Table,2025-12-24,Wednesday,10,60,E-0012,Completed
BK-00158,AF-0032,Meeting Table,2026-02-05,Thursday,15,30,E-0025,Completed
BK-00159,AF-0032,Meeting Table,2026-02-18,Wednesday,14,90,E-0026,Completed
BK-00160,AF-0032,Meeting Table,2025-10-07,Tuesday,14,60,E-0047,Completed
BK-00161,AF-0032,Meeting Table,2026-05-15,Friday,14,30,E-0035,Cancelled
BK-00162,AF-0032,Meeting Table,2025-11-27,Thursday,10,30,E-0022,Completed
BK-00163,AF-0032,Meeting Table,2025-10-20,Monday,11,30,E-0030,Completed
BK-00164,AF-0033,Pallet Jack,2026-04-01,Wednesday,14,60,E-0042,Completed
BK-00165,AF-0033,Pallet Jack,2026-03-02,Monday,10,30,E-0040,Completed
BK-00166,AF-0033,Pallet Jack,2025-10-30,Thursday,11,120,E-0001,Completed
BK-00167,AF-0033,Pallet Jack,2025-10-29,Wednesday,11,60,E-0054,Completed
BK-00168,AF-0033,Pallet Jack,2025-07-22,Tuesday,11,30,E-0057,Completed
BK-00169,AF-0033,Pallet Jack,2026-06-02,Tuesday,11,30,E-0027,Cancelled
BK-00170,AF-0033,Pallet Jack,2025-10-13,Monday,14,90,E-0053,Completed
BK-00171,AF-0033,Pallet Jack,2025-07-16,Wednesday,10,30,E-0035,Completed
BK-00172,AF-0033,Pallet Jack,2025-10-29,Wednesday,11,60,E-0009,Cancelled
BK-00173,AF-0033,Pallet Jack,2026-03-26,Thursday,14,60,E-0023,Completed
BK-00174,AF-0033,Pallet Jack,2026-06-19,Friday,13,90,E-0012,Completed
BK-00175,AF-0033,Pallet Jack,2026-04-17,Friday,13,60,E-0037,Completed
BK-00176,AF-0033,Pallet Jack,2026-04-02,Thursday,10,30,E-0001,Completed
BK-00177,AF-0033,Pallet Jack,2025-08-05,Tuesday,16,60,E-0004,Completed
BK-00178,AF-0033,Pallet Jack,2026-02-10,Tuesday,15,60,E-0010,Completed
BK-00179,AF-0033,Pallet Jack,2026-04-06,Monday,14,120,E-0040,Completed
BK-00180,AF-0033,Pallet Jack,2025-08-21,Thursday,14,60,E-0043,Completed
BK-00181,AF-0033,Pallet Jack,2026-01-30,Friday,15,60,E-0053,Completed
BK-00182,AF-0033,Pallet Jack,2026-05-05,Tuesday,12,60,E-0002,Completed
BK-00183,AF-0033,Pallet Jack,2025-09-11,Thursday,10,60,E-0055,Completed
BK-00184,AF-0033,Pallet Jack,2025-07-31,Thursday,13,60,E-0002,Completed
BK-00185,AF-0033,Pallet Jack,2025-09-01,Monday,14,90,E-0013,Completed
BK-00186,AF-0033,Pallet Jack,2025-12-22,Monday,17,60,E-0017,Cancelled
BK-00187,AF-0033,Pallet Jack,2026-04-19,Sunday,16,60,E-0039,Completed
BK-00188,AF-0033,Pallet Jack,2026-07-08,Wednesday,15,120,E-0024,Completed
BK-00189,AF-0034,Generator,2026-01-27,Tuesday,9,60,E-0040,Completed
BK-00190,AF-0034,Generator,2025-12-25,Thursday,13,30,E-0005,Completed
BK-00191,AF-0034,Generator,2025-11-12,Wednesday,14,30,E-0042,Completed
BK-00192,AF-0034,Generator,2026-05-21,Thursday,9,30,E-0044,Completed
BK-00193,AF-0034,Generator,2025-12-19,Friday,15,90,E-0016,Completed
BK-00194,AF-0034,Generator,2025-07-30,Wednesday,15,90,E-0053,Completed
BK-00195,AF-0034,Generator,2025-12-25,Thursday,15,60,E-0045,Completed
BK-00196,AF-0034,Generator,2026-01-21,Wednesday,11,60,E-0049,Completed
BK-00197,AF-0034,Generator,2026-01-28,Wednesday,15,30,E-0006,Completed
BK-00198,AF-0034,Generator,2025-10-22,Wednesday,9,60,E-0051,Completed
BK-00199,AF-0034,Generator,2025-08-05,Tuesday,14,60,E-0053,Completed
BK-00200,AF-0034,Generator,2026-01-06,Tuesday,15,60,E-0014,Completed
BK-00201,AF-0034,Generator,2025-10-10,Friday,14,30,E-0054,Cancelled
BK-00202,AF-0034,Generator,2026-03-17,Tuesday,10,90,E-0022,Completed
BK-00203,AF-0034,Generator,2025-09-23,Tuesday,14,30,E-0040,Completed
BK-00204,AF-0034,Generator,2026-05-04,Monday,10,60,E-0019,Completed
BK-00205,AF-0034,Generator,2026-03-10,Tuesday,14,60,E-0037,Completed
BK-00206,AF-0034,Generator,2025-10-24,Friday,14,90,E-0029,Completed
BK-00207,AF-0034,Generator,2025-09-22,Monday,15,60,E-0057,Cancelled
BK-00208,AF-0034,Generator,2025-11-06,Thursday,16,60,E-0019,Completed
BK-00209,AF-0034,Generator,2025-08-14,Thursday,13,60,E-0039,Completed
BK-00210,AF-0034,Generator,2025-08-28,Thursday,11,60,E-0047,Completed
BK-00211,AF-0034,Generator,2026-01-12,Monday,15,90,E-0058,Completed
BK-00212,AF-0034,Generator,2025-08-18,Monday,10,120,E-0051,Completed
BK-00213,AF-0034,Generator,2026-01-06,Tuesday,14,90,E-0001,Completed
BK-00214,AF-0034,Generator,2026-03-24,Tuesday,14,30,E-0038,Completed
BK-00215,AF-0034,Generator,2026-05-08,Friday,10,60,E-0032,Completed
BK-00216,AF-0034,Generator,2026-05-08,Friday,10,30,E-0031,Completed
BK-00217,AF-0034,Generator,2025-09-09,Tuesday,11,30,E-0024,Completed
BK-00218,AF-0034,Generator,2025-09-22,Monday,12,60,E-0059,Completed
BK-00219,AF-0034,Generator,2025-11-12,Wednesday,17,30,E-0017,Completed
BK-00220,AF-0034,Generator,2026-06-06,Saturday,15,30,E-0014,Completed
BK-00221,AF-0034,Generator,2025-10-08,Wednesday,10,90,E-0041,Completed
BK-00222,AF-0034,Generator,2026-02-22,Sunday,12,60,E-0016,Completed
BK-00223,AF-0034,Generator,2026-06-15,Monday,11,90,E-0043,Cancelled
BK-00224,AF-0034,Generator,2026-06-12,Friday,16,60,E-0049,Completed
BK-00225,AF-0034,Generator,2026-06-30,Tuesday,13,60,E-0050,Cancelled
BK-00226,AF-0034,Generator,2026-01-28,Wednesday,10,60,E-0026,Completed
BK-00227,AF-0036,Forklift,2025-08-21,Thursday,15,60,E-0032,Completed
BK-00228,AF-0036,Forklift,2026-05-06,Wednesday,14,90,E-0001,Completed
BK-00229,AF-0036,Forklift,2026-05-11,Monday,15,120,E-0030,Completed
BK-00230,AF-0036,Forklift,2026-01-01,Thursday,15,60,E-0042,Completed
BK-00231,AF-0036,Forklift,2026-05-12,Tuesday,9,60,E-0053,Completed
BK-00232,AF-0036,Forklift,2026-07-01,Wednesday,14,60,E-0046,Completed
BK-00233,AF-0036,Forklift,2026-01-21,Wednesday,10,60,E-0008,Completed
BK-00234,AF-0036,Forklift,2025-07-22,Tuesday,10,30,E-0026,Completed
BK-00235,AF-0036,Forklift,2025-10-03,Friday,15,60,E-0005,Completed
BK-00236,AF-0036,Forklift,2026-02-20,Friday,15,90,E-0004,Completed
BK-00237,AF-0036,Forklift,2026-05-20,Wednesday,10,60,E-0024,Completed
BK-00238,AF-0036,Forklift,2025-09-16,Tuesday,9,120,E-0028,Completed
BK-00239,AF-0036,Forklift,2026-04-09,Thursday,10,60,E-0047,Cancelled
BK-00240,AF-0036,Forklift,2025-08-21,Thursday,17,60,E-0035,Completed
BK-00241,AF-0036,Forklift,2026-03-05,Thursday,11,120,E-0036,Completed
BK-00242,AF-0036,Forklift,2026-05-11,Monday,14,60,E-0056,Completed
BK-00243,AF-0036,Forklift,2025-12-04,Thursday,16,120,E-0023,Completed
BK-00244,AF-0036,Forklift,2026-05-06,Wednesday,10,60,E-0045,Completed
BK-00245,AF-0036,Forklift,2026-04-30,Thursday,9,30,E-0021,Completed
BK-00246,AF-0036,Forklift,2025-12-31,Wednesday,15,30,E-0042,Completed
BK-00247,AF-0036,Forklift,2026-07-04,Saturday,14,30,E-0036,Completed
BK-00248,AF-0037,Delivery Van,2025-12-25,Thursday,10,60,E-0015,Completed
BK-00249,AF-0037,Delivery Van,2025-10-02,Thursday,15,60,E-0016,Completed
BK-00250,AF-0037,Delivery Van,2026-04-07,Tuesday,14,60,E-0047,Completed
BK-00251,AF-0037,Delivery Van,2025-10-07,Tuesday,14,60,E-0028,Completed
BK-00252,AF-0037,Delivery Van,2026-04-30,Thursday,16,60,E-0008,Completed
BK-00253,AF-0037,Delivery Van,2025-07-24,Thursday,15,30,E-0001,Completed
BK-00254,AF-0037,Delivery Van,2026-05-20,Wednesday,14,60,E-0037,Completed
BK-00255,AF-0037,Delivery Van,2026-01-23,Friday,11,60,E-0020,Completed
BK-00256,AF-0037,Delivery Van,2026-04-28,Tuesday,14,30,E-0037,Completed
BK-00257,AF-0037,Delivery Van,2025-08-28,Thursday,10,30,E-0029,Completed
BK-00258,AF-0037,Delivery Van,2026-04-17,Friday,11,60,E-0029,Completed
BK-00259,AF-0037,Delivery Van,2025-09-23,Tuesday,14,90,E-0051,Completed
BK-00260,AF-0037,Delivery Van,2025-07-31,Thursday,9,90,E-0059,Completed
BK-00261,AF-0039,Sedan Car,2025-09-26,Friday,12,60,E-0011,Completed
BK-00262,AF-0039,Sedan Car,2025-10-09,Thursday,15,60,E-0018,Completed
BK-00263,AF-0039,Sedan Car,2026-07-02,Thursday,10,30,E-0033,Cancelled
BK-00264,AF-0039,Sedan Car,2025-09-24,Wednesday,10,30,E-0051,Completed
BK-00265,AF-0039,Sedan Car,2026-02-26,Thursday,17,60,E-0016,Completed
BK-00266,AF-0039,Sedan Car,2026-02-27,Friday,17,60,E-0014,Completed
BK-00267,AF-0039,Sedan Car,2026-02-16,Monday,13,30,E-0010,Completed
BK-00268,AF-0039,Sedan Car,2026-01-16,Friday,11,30,E-0036,Completed
BK-00269,AF-0039,Sedan Car,2026-04-06,Monday,14,30,E-0026,Completed
BK-00270,AF-0039,Sedan Car,2026-05-04,Monday,15,30,E-0048,Completed
BK-00271,AF-0039,Sedan Car,2026-06-02,Tuesday,12,60,E-0027,Completed
BK-00272,AF-0039,Sedan Car,2026-05-21,Thursday,10,120,E-0037,Completed
BK-00273,AF-0039,Sedan Car,2026-02-16,Monday,17,60,E-0058,Completed
BK-00274,AF-0039,Sedan Car,2026-07-08,Wednesday,12,60,E-0027,Completed
BK-00275,AF-0039,Sedan Car,2025-10-08,Wednesday,15,120,E-0010,Completed
BK-00276,AF-0039,Sedan Car,2026-02-18,Wednesday,11,90,E-0020,Completed
BK-00277,AF-0039,Sedan Car,2026-02-19,Thursday,11,90,E-0042,Completed
BK-00278,AF-0039,Sedan Car,2026-01-13,Tuesday,13,90,E-0054,Completed
BK-00279,AF-0039,Sedan Car,2026-01-03,Saturday,10,30,E-0024,Completed
BK-00280,AF-0039,Sedan Car,2026-01-22,Thursday,10,120,E-0001,Completed
BK-00281,AF-0039,Sedan Car,2026-06-19,Friday,15,30,E-0009,Completed
BK-00282,AF-0039,Sedan Car,2026-04-06,Monday,16,60,E-0022,Completed
BK-00283,AF-0039,Sedan Car,2025-10-07,Tuesday,14,30,E-0019,Completed
BK-00284,AF-0039,Sedan Car,2025-12-11,Thursday,14,120,E-0006,Completed
BK-00285,AF-0039,Sedan Car,2025-07-17,Thursday,14,60,E-0028,Completed
BK-00286,AF-0039,Sedan Car,2026-04-21,Tuesday,17,120,E-0029,Completed
BK-00287,AF-0039,Sedan Car,2025-09-12,Friday,9,30,E-0014,Completed
BK-00288,AF-0039,Sedan Car,2026-01-16,Friday,15,90,E-0017,Completed
BK-00289,AF-0039,Sedan Car,2026-04-08,Wednesday,10,90,E-0016,Completed
BK-00290,AF-0039,Sedan Car,2026-06-22,Monday,10,60,E-0036,Completed
BK-00291,AF-0039,Sedan Car,2025-07-30,Wednesday,11,30,E-0055,Completed
BK-00292,AF-0039,Sedan Car,2025-10-07,Tuesday,15,60,E-0055,Completed
BK-00293,AF-0039,Sedan Car,2026-06-08,Monday,11,60,E-0016,Completed
BK-00294,AF-0039,Sedan Car,2025-08-08,Friday,15,30,E-0060,Completed
BK-00295,AF-0039,Sedan Car,2026-07-10,Friday,14,30,E-0045,Completed
BK-00296,AF-0040,Pallet Jack,2025-12-30,Tuesday,10,30,E-0002,Completed
BK-00297,AF-0040,Pallet Jack,2026-01-06,Tuesday,11,30,E-0053,Completed
BK-00298,AF-0040,Pallet Jack,2026-03-21,Saturday,10,120,E-0016,Completed
BK-00299,AF-0040,Pallet Jack,2026-04-02,Thursday,14,60,E-0011,Completed
BK-00300,AF-0040,Pallet Jack,2025-11-20,Thursday,9,30,E-0035,Completed
BK-00301,AF-0040,Pallet Jack,2026-03-30,Monday,16,60,E-0018,Completed
BK-00302,AF-0040,Pallet Jack,2026-01-27,Tuesday,11,60,E-0023,Completed
BK-00303,AF-0040,Pallet Jack,2026-02-18,Wednesday,13,30,E-0033,Completed
BK-00304,AF-0040,Pallet Jack,2025-09-06,Saturday,13,60,E-0035,Completed
BK-00305,AF-0040,Pallet Jack,2025-12-24,Wednesday,15,90,E-0030,Completed
BK-00306,AF-0040,Pallet Jack,2025-12-30,Tuesday,15,90,E-0030,Completed
BK-00307,AF-0040,Pallet Jack,2025-07-15,Tuesday,16,30,E-0006,Completed
BK-00308,AF-0040,Pallet Jack,2025-09-05,Friday,10,30,E-0055,Completed
BK-00309,AF-0040,Pallet Jack,2025-11-19,Wednesday,16,30,E-0019,Completed
BK-00310,AF-0040,Pallet Jack,2026-02-04,Wednesday,10,120,E-0019,Completed
BK-00311,AF-0040,Pallet Jack,2026-03-08,Sunday,10,60,E-0038,Completed
BK-00312,AF-0040,Pallet Jack,2025-08-06,Wednesday,17,120,E-0020,Completed
BK-00313,AF-0040,Pallet Jack,2026-07-01,Wednesday,14,30,E-0034,Completed
BK-00314,AF-0040,Pallet Jack,2025-12-30,Tuesday,13,30,E-0010,Cancelled
BK-00315,AF-0040,Pallet Jack,2026-05-11,Monday,16,30,E-0048,Completed
BK-00316,AF-0040,Pallet Jack,2026-05-06,Wednesday,16,60,E-0023,Completed
BK-00317,AF-0040,Pallet Jack,2026-04-27,Monday,14,30,E-0050,Completed
BK-00318,AF-0040,Pallet Jack,2026-04-24,Friday,10,60,E-0032,Completed
BK-00319,AF-0040,Pallet Jack,2026-06-16,Tuesday,17,30,E-0045,Completed
BK-00320,AF-0040,Pallet Jack,2026-02-25,Wednesday,11,60,E-0012,Completed
